Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,Rendimiento
1.85,197,54,181,99,35.5,1.2,2,37330
1.85,197,54,171,99,38,1.2,2,28980
1.85,188,54,171,99,38,1.2,0.2,29861
1.85,210,78,170,8,35,8,2.7,37350
1.85,273,76,260,30,37,8,2.7,36481
1.85,258,76,225,30,37,8,2.7,5394
2.79,171,47,157,20,31,8,2,24997
2.79,175,47,177,20,40,8,2,53490
2.79,197,54,181,99,35.5,1.2,2,64150
2.79,197,54,171,99,38,1.2,2,42420
2.79,188,54,171,99,38,1.2,0.2,37366
2.79,210,78,170,8,35,8,2.7,38000
2.79,273,76,260,30,37,8,2.7,63960
2.79,258,76,225,30,37,8,2.7,12730
1.94,171,47,157,20,31,8,2,12573
1.94,175,47,177,20,40,8,2,35415
1.94,197,54,181,99,35.5,1.2,2,44520
1.94,197,54,171,99,38,1.2,2,31920
1.94,188,54,171,99,38,1.2,0.2,27796
1.94,210,78,170,8,35,8,2.7,34445
1.94,273,76,260,30,37,8,2.7,42230
1.94,258,76,225,30,37,8,2.7,10790
3.11,171,47,157,20,31,8,2,19388
3.11,175,47,177,20,40,8,2,53613
3.11,197,54,181,99,35.5,1.2,2,81540
3.11,197,54,171,99,38,1.2,2,47880
3.11,188,54,171,99,38,1.2,0.2,42289
3.11,210,78,170,8,35,8,2.7,46065
3.11,273,76,260,30,37,8,2.7,55760
3.11,258,76,225,30,37,8,2.7,16390
2,171,47,157,20,31,8,2,11291
2,175,47,177,20,40,8,2,29201
2,197,54,181,99,35.5,1.2,2,52260
2,197,54,171,99,38,1.2,2,28900
2,188,54,171,99,38,1.2,0.2,30642
2,210,78,170,8,35,8,2.7,37800
2,273,76,260,30,37,8,2.7,43050
2,258,76,225,30,37,8,2.7,8300
2.93,171,47,157,20,31,8,2,15770
2.93,175,47,177,20,40,8,2,52536
2.93,197,54,181,99,35.5,1.2,2,76350
2.93,197,54,171,99,38,1.2,2,46620
2.93,188,54,171,99,38,1.2,0.2,42235
2.93,210,78,170,8,35,8,2.7,53535
2.93,273,76,260,30,37,8,2.7,54120
2.93,258,76,225,30,37,8,2.7,16343
2.27,171,47,157,20,31,8,2,12669
2.27,175,47,177,20,40,8,2,39180
2.27,197,54,181,99,35.5,1.2,2,55020
2.27,197,54,171,99,38,1.2,2,28980
2.27,188,54,171,99,38,1.2,0.2,25803
2.27,210,78,170,8,35,8,2.7,46620
2.27,273,76,260,30,37,8,2.7,47970
2.27,258,76,225,30,37,8,2.7,8300
3.29,171,47,157,20,31,8,2,20081
3.29,175,47,177,20,40,8,2,53821
3.29,197,54,181,99,35.5,1.2,2,73080
3.29,197,54,171,99,38,1.2,2,49560
3.29,188,54,171,99,38,1.2,0.2,39218
3.29,210,78,170,8,35,8,2.7,64325
3.29,273,76,260,30,37,8,2.7,63960
3.29,258,76,225,30,37,8,2.7,27051
1.99,171,47,157,20,31,8,2,9614
1.99,175,47,177,20,40,8,2,31756
1.99,197,54,181,99,35.5,1.2,2,40740
1.99,197,54,171,99,38,1.2,2,30240
1.99,188,54,171,99,38,1.2,0.2,20532
1.99,210,78,170,8,35,8,2.7,35700
1.99,273,76,260,30,37,8,2.7,38950
1.99,258,76,225,30,37,8,2.7,14807
2.58,171,47,157,20,31,8,2,19589
2.58,175,47,177,20,40,8,2,51118
2.58,197,54,181,99,35.5,1.2,2,54600
2.58,197,54,171,99,38,1.2,2,41220
2.58,188,54,171,99,38,1.2,0.2,26430
2.58,210,78,170,8,35,8,2.7,54780
2.58,273,76,260,30,37,8,2.7,53300
2.58,258,76,225,30,37,8,2.7,24669
2.04,171,47,157,20,31,8,2,12320
2.04,175,47,177,20,40,8,2,33240
2.04,197,54,181,99,35.5,1.2,2,47880
2.04,197,54,171,99,38,1.2,2,29820
2.04,188,54,171,99,38,1.2,0.2,22153
2.04,210,78,170,8,35,8,2.7,55860
2.04,273,76,260,30,37,8,2.7,55350
2.04,258,76,225,30,37,8,2.7,16384
2.52,171,47,157,20,31,8,2,16063
2.52,175,47,177,20,40,8,2,41667
2.52,197,54,181,99,35.5,1.2,2,55440
2.52,197,54,171,99,38,1.2,2,37380
2.52,188,54,171,99,38,1.2,0.2,26602
2.52,210,78,170,8,35,8,2.7,46980
2.52,273,76,260,30,37,8,2.7,49200
2.52,258,76,225,30,37,8,2.7,18489
2.12,171,47,157,20,31,8,2,17600
2.12,175,47,177,20,40,8,2,31875
2.12,197,54,181,99,35.5,1.2,2,41580
2.12,197,54,171,99,38,1.2,2,34020
2.12,188,54,171,99,38,1.2,0.2,23324
2.12,210,78,170,8,35,8,2.7,45360
2.12,273,76,260,30,37,8,2.7,49200
2.12,258,76,225,30,37,8,2.7,19600
2.38,171,47,157,20,31,8,2,15906
2.38,175,47,177,20,40,8,2,40042
2.38,197,54,181,99,35.5,1.2,2,52920
2.38,197,54,171,99,38,1.2,2,33600
2.38,188,54,171,99,38,1.2,0.2,23353
2.38,210,78,170,8,35,8,2.7,43660
2.38,273,76,260,30,37,8,2.7,47560
2.38,258,76,225,30,37,8,2.7,12673
1.69,171,47,157,20,31,8,2,13429
1.69,175,47,177,20,40,8,2,25731
1.69,197,54,181,99,35.5,1.2,2,27720
1.69,197,54,171,99,38,1.2,2,9240
1.69,188,54,171,99,38,1.2,0.2,18365
