Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,B,Rendimiento
1.94,258,76,225,30,37,8,2.7,3,10790
3.11,171,47,157,20,31,8,2,4,19388
3.11,175,47,177,20,40,8,2,4,53613
3.11,197,54,181,99,35.5,1.2,2,3,81540
3.11,197,54,171,99,38,1.2,2,3,47880
3.11,188,54,171,99,38,1.2,0.2,3,42289
3.11,210,78,170,8,35,8,2.7,3,46065
3.11,273,76,260,30,37,8,2.7,3,55760
3.11,258,76,225,30,37,8,2.7,3,16390
2,171,47,157,20,31,8,2,4,11291
2,175,47,177,20,40,8,2,4,29201
2,197,54,181,99,35.5,1.2,2,3,52260
2,197,54,171,99,38,1.2,2,3,28900
2,188,54,171,99,38,1.2,0.2,3,30642
2,210,78,170,8,35,8,2.7,3,37800
2,273,76,260,30,37,8,2.7,3,43050
2,258,76,225,30,37,8,2.7,3,8300
2.93,171,47,157,20,31,8,2,4,15770
2.93,175,47,177,20,40,8,2,4,52536
2.93,197,54,181,99,35.5,1.2,2,3,76350
2.93,197,54,171,99,38,1.2,2,3,46620
2.93,188,54,171,99,38,1.2,0.2,3,42235
2.93,210,78,170,8,35,8,2.7,3,53535
2.93,273,76,260,30,37,8,2.7,3,54120
2.93,258,76,225,30,37,8,2.7,3,16343
2.27,171,47,157,20,31,8,2,4,12669
2.27,175,47,177,20,40,8,2,4,39180
2.27,197,54,181,99,35.5,1.2,2,3,55020
2.27,197,54,171,99,38,1.2,2,3,28980
2.27,188,54,171,99,38,1.2,0.2,3,25803
2.27,210,78,170,8,35,8,2.7,3,46620
2.27,273,76,260,30,37,8,2.7,3,47970
2.27,258,76,225,30,37,8,2.7,3,8300
3.29,171,47,157,20,31,8,2,4,20081
3.29,175,47,177,20,40,8,2,4,53821
3.29,197,54,181,99,35.5,1.2,2,3,73080
3.29,197,54,171,99,38,1.2,2,3,49560
3.29,188,54,171,99,38,1.2,0.2,3,39218
3.29,210,78,170,8,35,8,2.7,3,64325
3.29,273,76,260,30,37,8,2.7,3,63960
3.29,258,76,225,30,37,8,2.7,3,27051
1.99,171,47,157,20,31,8,2,4,9614
1.99,175,47,177,20,40,8,2,4,31756
1.99,197,54,181,99,35.5,1.2,2,3,40740
1.99,197,54,171,99,38,1.2,2,3,30240
1.99,188,54,171,99,38,1.2,0.2,3,20532
1.99,210,78,170,8,35,8,2.7,3,35700
1.99,273,76,260,30,37,8,2.7,3,38950
1.99,258,76,225,30,37,8,2.7,3,14807
2.58,171,47,157,20,31,8,2,4,19589
2.58,175,47,177,20,40,8,2,4,51118
2.58,197,54,181,99,35.5,1.2,2,3,54600
2.58,197,54,171,99,38,1.2,2,3,41220
2.58,188,54,171,99,38,1.2,0.2,3,26430
2.58,210,78,170,8,35,8,2.7,3,54780
2.58,273,76,260,30,37,8,2.7,3,53300
2.58,258,76,225,30,37,8,2.7,3,24669
2.04,171,47,157,20,31,8,2,4,12320
2.04,175,47,177,20,40,8,2,4,33240
2.04,197,54,181,99,35.5,1.2,2,3,47880
2.04,197,54,171,99,38,1.2,2,3,29820
2.04,188,54,171,99,38,1.2,0.2,3,22153
2.04,210,78,170,8,35,8,2.7,3,55860
2.04,273,76,260,30,37,8,2.7,3,55350
2.04,258,76,225,30,37,8,2.7,3,16384
2.52,171,47,157,20,31,8,2,4,16063
2.52,175,47,177,20,40,8,2,4,41667
2.52,197,54,181,99,35.5,1.2,2,3,55440
2.52,197,54,171,99,38,1.2,2,3,37380
2.52,188,54,171,99,38,1.2,0.2,3,26602
2.52,210,78,170,8,35,8,2.7,3,46980
2.52,273,76,260,30,37,8,2.7,3,49200
2.52,258,76,225,30,37,8,2.7,3,18489
2.12,171,47,157,20,31,8,2,4,17600
2.12,175,47,177,20,40,8,2,4,31875
2.12,197,54,181,99,35.5,1.2,2,3,41580
2.12,197,54,171,99,38,1.2,2,3,34020
2.12,188,54,171,99,38,1.2,0.2,3,23324
2.12,210,78,170,8,35,8,2.7,3,45360
2.12,273,76,260,30,37,8,2.7,3,49200
2.12,258,76,225,30,37,8,2.7,3,19600
2.38,171,47,157,20,31,8,2,4,15906
2.38,175,47,177,20,40,8,2,4,40042
2.38,197,54,181,99,35.5,1.2,2,3,52920
2.38,197,54,171,99,38,1.2,2,3,33600
2.38,188,54,171,99,38,1.2,0.2,3,23353
2.38,210,78,170,8,35,8,2.7,3,43660
2.38,273,76,260,30,37,8,2.7,3,47560
2.38,258,76,225,30,37,8,2.7,3,12673
1.69,171,47,157,20,31,8,2,4,13429
1.69,175,47,177,20,40,8,2,4,25731
1.69,197,54,181,99,35.5,1.2,2,3,27720
1.69,197,54,171,99,38,1.2,2,3,9240
1.69,188,54,171,99,38,1.2,0.2,3,18365
1.69,210,78,170,8,35,8,2.7,3,27570
1.69,273,76,260,30,37,8,2.7,3,32800
1.69,258,76,225,30,37,8,2.7,3,8200
2.07,171,47,157,20,31,8,2,4,9272
2.07,175,47,177,20,40,8,2,4,16884
2.07,197,54,181,99,35.5,1.2,2,3,39900
2.07,197,54,171,99,38,1.2,2,3,25200
2.07,188,54,171,99,38,1.2,0.2,3,22886
2.07,210,78,170,8,35,8,2.7,3,29050
2.07,273,76,260,30,37,8,2.7,3,31980
2.07,258,76,225,30,37,8,2.7,3,13166
0.86,171,47,157,20,31,8,2,4,1396
0.86,175,47,177,20,40,8,2,4,2723
0.86,197,54,181,99,35.5,1.2,2,3,18480
0.86,197,54,171,99,38,1.2,2,3,11340
0.86,188,54,171,99,38,1.2,0.2,3,10315
0.86,210,78,170,8,35,8,2.7,3,12450
0.86,273,76,260,30,37,8,2.7,3,16810
0.86,258,76,225,30,37,8,2.7,3,4100
1.59,171,47,157,20,31,8,2,4,601
1.59,175,47,177,20,40,8,2,4,2570
1.59,197,54,181,99,35.5,1.2,2,3,15960
1.59,197,54,171,99,38,1.2,2,3,20580
1.59,188,54,171,99,38,1.2,0.2,3,10114
1.59,210,78,170,8,35,8,2.7,3,21165
1.59,273,76,260,30,37,8,2.7,3,25010
1.59,258,76,225,30,37,8,2.7,3,5740
