Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,B,Rendimiento
1.28,188,54,171,99,38,1.2,0.2,3,b
1.28,258,76,225,30,37,8,2.7,3,b
1.28,171,47,157,20,31,8,2,4,b
1.28,175,47,177,20,40,8,2,4,b
1.28,197,54,181,99,35.5,1.2,2,3,b
1.28,197,54,171,99,38,1.2,2,3,b
1.28,188,54,171,99,38,1.2,0.2,3,b
1.28,210,78,170,8,35,8,2.7,3,b
1.28,258,76,225,30,37,8,2.7,3,b
1.28,197,54,181,99,35.5,1.2,2,3,c
1.28,210,78,170,8,35,8,2.7,3,c
1.28,273,76,260,30,37,8,2.7,3,c
1.28,273,76,260,30,37,8,2.7,3,d
1.15,171,47,157,20,31,8,2,4,a
1.15,258,76,225,30,37,8,2.7,3,a
1.15,175,47,177,20,40,8,2,4,b
1.15,197,54,181,99,35.5,1.2,2,3,b
1.15,197,54,171,99,38,1.2,2,3,b
1.15,188,54,171,99,38,1.2,0.2,3,b
1.15,210,78,170,8,35,8,2.7,3,b
1.15,273,76,260,30,37,8,2.7,3,c
0.9,171,47,157,20,31,8,2,4,a
0.9,258,76,225,30,37,8,2.7,3,a
0.9,175,47,177,20,40,8,2,4,b
0.9,197,54,181,99,35.5,1.2,2,3,b
0.9,197,54,171,99,38,1.2,2,3,b
0.9,188,54,171,99,38,1.2,0.2,3,b
0.9,210,78,170,8,35,8,2.7,3,b
0.9,273,76,260,30,37,8,2.7,3,b
0.87,258,76,225,30,37,8,2.7,3,a
0.87,171,47,157,20,31,8,2,4,b
0.87,197,54,181,99,35.5,1.2,2,3,b
0.87,197,54,171,99,38,1.2,2,3,b
0.87,188,54,171,99,38,1.2,0.2,3,b
0.87,210,78,170,8,35,8,2.7,3,b
0.87,175,47,177,20,40,8,2,4,c
0.87,273,76,260,30,37,8,2.7,3,c
0.86,171,47,157,20,31,8,2,4,a
0.86,175,47,177,20,40,8,2,4,a
0.86,258,76,225,30,37,8,2.7,3,a
0.86,197,54,171,99,38,1.2,2,3,b
0.86,188,54,171,99,38,1.2,0.2,3,b
0.86,210,78,170,8,35,8,2.7,3,b
0.86,273,76,260,30,37,8,2.7,3,b
0.86,197,54,181,99,35.5,1.2,2,3,c
0.67,171,47,157,20,31,8,2,4,a
0.67,258,76,225,30,37,8,2.7,3,a
0.67,175,47,177,20,40,8,2,4,b
0.67,197,54,181,99,35.5,1.2,2,3,b
0.67,197,54,171,99,38,1.2,2,3,b
0.67,188,54,171,99,38,1.2,0.2,3,b
0.67,210,78,170,8,35,8,2.7,3,b
0.67,273,76,260,30,37,8,2.7,3,b
0.28,171,47,157,20,31,8,2,4,a
0.28,175,47,177,20,40,8,2,4,a
0.28,197,54,181,99,35.5,1.2,2,3,a
0.28,197,54,171,99,38,1.2,2,3,a
0.28,188,54,171,99,38,1.2,0.2,3,a
0.28,210,78,170,8,35,8,2.7,3,a
0.28,273,76,260,30,37,8,2.7,3,a
0.28,258,76,225,30,37,8,2.7,3,a
